"#","ID","Name","Tab","Type","Font","Font Size","Text","Main Color","Second Color","Surface","x_location","y_location","Width","Height","Command","Lock"
"","0","Mauro","0","Button","None","20","EDIT","(140, 140, 140)","(60, 60, 60)","0","1220","20","50","50","toggle_edit_mode","True"
"","1","Mauro","0","Button","None","20","Center","(140, 140, 140)","(60, 60, 60)","0","1220","80","50","50","center","True"
"","2","Mauro","0","Button","None","20","+Text","(140, 140, 140)","(60, 60, 60)","0","1220","140","50","50","add_text","True"
"","3","Mauro","0","Button","None","20","Cool","(140, 140, 140)","(60, 60, 60)","0","229","64","40","40","","False"
"","4","Mauro","0","Text","None","50","Test","(255, 255, 255)","(200, 200, 200)","0","33","26","","","","False"
"","5","Mauro","0","Text","None","51","Hello","(255, 255, 255)","(200, 200, 200)","0","24","76","","","","False"
"","6","Mauro","0","Text","None","51","Title","(255, 255, 255)","(200, 200, 200)","1","0","0","","","","False"
